"area_160616","area_160617","area_160618","area_160619","area_160620","area_160621","area_160622","area_160623","area_160624","area_160625","area_160626","area_160627","area_160628","area_160629","area_160630","area_160701","area_160702","area_160703","area_160704","area_160705","well_ID","factor"
3.11,3.175,2.938,3.267,4.337,5.575,7.723,11.546,18.124,27.058,37.769,58.145,77.952,82.083,79.756,74.509,75.238,78.395,74.646,77.109,129,"04"
2.961,2.954,2.816,3.069,4.111,5.385,7.822,12.125,20.229,31.936,44.996,67.594,79.985,79.141,73.985,72.911,70.23,74.972,73.569,74.474,130,"04"
2.876,2.881,2.709,2.89,4.096,5.666,7.96,12.14,19.867,32.787,47.56,70.306,81.172,79.646,79.866,75.298,73.173,77.943,74.734,77.285,131,"04"
3.39,3.353,3.143,3.783,5.336,7.846,11.861,18.962,30.9,45.732,60.498,79.972,78.45,76.662,76.568,71.759,71.573,73.521,72.276,75.55,132,"04"
2.851,2.842,2.731,3.276,4.481,5.89,8.389,12.722,19.867,27.956,35.795,50.765,68.891,77.864,75.502,69.421,66.95,73.461,72.266,70.917,133,"04"
3.813,3.768,3.79,4.304,5.718,7.661,11.466,18.561,29.856,43.29,57.492,77.873,80.475,79.931,75.056,72.136,70.491,75.38,72.441,71.682,134,"04"
3.709,3.643,3.393,3.793,4.896,5.939,7.663,11.097,17.412,25.166,32.958,48.529,68.648,76.207,76.144,73.765,69.335,74.09,72.877,71.13,135,"04"
4.259,4.093,4.009,4.657,6.331,8.901,12.935,20.284,35.029,52.554,68.856,80.285,77.527,76.297,76.344,75.379,72.291,72.629,74.083,73.399,136,"04"
5.368,5.049,4.657,5.146,6.873,9.924,15.442,25.65,40.266,58.602,74.817,80.899,73.076,73.436,73.542,75.097,71.286,73.976,74.759,75.04,137,"04"
5.146,4.837,4.593,5.181,6.879,9.552,13.365,20.844,33.741,49.301,63.291,77.53,74.228,72.087,72.796,70.86,67.899,72.64,69.778,71.126,138,"04"
4.275,4.208,3.773,4.132,5.639,7.143,9.537,14.043,21.034,29.87,38.808,55.362,71.644,73.172,70.923,68.719,67.763,73.177,70.94,72.391,139,"04"
3.116,3.006,2.892,3.222,4.776,6.618,9.713,14.58,24.517,37.745,52.45,72.365,77.112,79.054,76.592,73.786,72.073,76.809,73.259,75.885,140,"04"
4.058,3.73,3.266,3.416,4.432,5.595,7.093,10.399,16.805,26.057,36.764,55.629,72.913,76.317,76.867,73.6,72.934,76.198,73.757,74.645,141,"04"
3.929,3.411,2.875,3.03,4.022,4.851,5.873,8.132,12.802,19.065,27.037,41.225,59.632,74.131,77.97,72.752,72.182,74.599,73.279,72.89,142,"04"
3.305,3.137,2.984,3.344,4.838,6.685,9.573,14.92,23.501,33.523,44.783,62.995,76.301,76.428,75.056,71.856,70.839,74.027,74.799,74.525,143,"04"
4.032,3.34,3.214,3.698,5.481,7.755,11.303,18.19,32.517,51.537,67.575,78.837,79.589,75.948,75.633,73.103,70.412,74.788,72.314,75.037,144,"04"
3.224,3.137,2.822,2.998,3.771,4.118,5.157,7.205,11.237,17.074,24.104,38.277,57.998,72.807,75.502,74.973,70.693,74.768,71.125,71.854,145,"04"
3.258,3.175,3,3.408,5.188,5.988,8.604,13.103,21.09,30.312,39.885,59.437,78.429,80.612,78.791,77.887,72.535,75.141,74.593,75.611,146,"04"
3.009,3.112,2.989,3.699,5.189,7.56,11.843,18.8,30.865,44.807,59.933,76.866,80.131,79.797,77.528,75.786,74.265,74.063,75.351,75.939,147,"04"
3.053,3.074,2.994,3.421,4.433,5.954,8.507,13.098,21.703,33.585,46.548,66.64,76.028,74.425,74.19,71.68,68.839,73.513,72.474,75.145,148,"04"
3.068,2.988,2.955,3.471,4.606,6.295,9.56,15.746,26.276,38.76,53.396,77.239,76.879,75.574,75.296,72.667,72.198,72.008,71.522,72.581,149,"04"
2.991,3.063,3.139,3.641,4.952,6.704,9.706,14.686,21.488,28.793,36.468,50.936,67.905,77.026,76.381,75.124,71.338,73.497,73.195,72.425,150,"04"
3.06,3.025,2.87,3.174,4.353,5.621,7.81,11.402,18.187,27.151,36.898,54.024,74.508,81.88,83.196,78.46,75.86,77.914,74.693,76.538,151,"04"
2.862,2.944,2.908,3.396,5.021,7.527,11.648,18.564,30.807,45.058,59.618,78.879,80.033,78.953,77.12,74.849,72.112,74.038,75.165,76.202,152,"04"
3.322,3.406,3.162,3.726,5.066,7.326,11.342,18.251,28.003,39.437,52.176,73.886,79.618,76.457,75.768,72.405,70.582,74.234,74.115,76.456,153,"04"
3.447,3.472,3.139,3.582,4.894,6.415,9.051,13.563,21.331,33.105,46.451,68.549,78.552,75.783,74.413,72.625,70.545,72.517,71.666,72.597,154,"04"
3.242,3.223,2.985,3.409,5.035,7.041,10.039,15.142,26.928,44.203,61.567,78.591,74.274,72.805,72.862,69.904,67.021,70.479,69.058,70.07,155,"04"
3.299,3.126,2.694,2.738,3.503,3.529,3.828,4.246,4.611,5.388,6.034,7.155,9.361,13.574,21.185,30.025,40.713,56.34,67.834,69.686,156,"04"
